               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055168,            0.024182,            0.046029,             0.87562,             0.79468,             0.86475,             0.40937,            0.042811,            0.018225,            0.017695,            0.070006,           0.0033327,           0.0033327
                   1,            0.046753,            0.020164,             0.02034,             0.91361,             0.86531,             0.90805,             0.45115,            0.041051,            0.017787,            0.011409,            0.039566,            0.006226,            0.006226
                   2,            0.045396,            0.020247,            0.018255,             0.91988,             0.87857,              0.9157,             0.45748,              0.0409,            0.017738,            0.010325,           0.0086861,           0.0086794,           0.0086794
                   3,            0.043901,             0.01996,             0.01688,             0.92695,             0.89495,             0.92733,             0.46725,             0.04024,            0.017581,           0.0088782,             0.00802,             0.00802,             0.00802
                   4,            0.042937,             0.01974,            0.015199,             0.93118,             0.91065,             0.93438,             0.47484,            0.039957,            0.017468,           0.0078295,             0.00802,             0.00802,             0.00802
                   5,            0.042131,            0.019608,            0.013937,             0.93587,             0.91742,             0.93966,             0.48246,            0.039575,            0.017354,           0.0071621,             0.00736,             0.00736,             0.00736
                   6,            0.041766,            0.019434,             0.01314,             0.93865,             0.92827,             0.94317,             0.48642,            0.039367,            0.017273,           0.0066071,              0.0067,              0.0067,              0.0067
                   7,            0.041246,            0.019327,            0.012482,              0.9399,             0.93084,             0.94657,             0.49073,            0.039191,            0.017215,           0.0062942,             0.00604,             0.00604,             0.00604
                   8,            0.040981,            0.019207,            0.011992,             0.94212,             0.93536,             0.94882,             0.49249,            0.039066,            0.017134,           0.0059409,             0.00538,             0.00538,             0.00538
                   9,            0.040685,            0.019105,            0.011481,             0.94365,             0.94036,             0.95101,             0.49626,             0.03891,            0.017105,           0.0056168,             0.00472,             0.00472,             0.00472
                  10,             0.04037,            0.019045,            0.011014,             0.94459,             0.94335,             0.95354,             0.49942,            0.038775,            0.017066,           0.0053952,             0.00406,             0.00406,             0.00406
                  11,            0.040057,            0.018999,            0.010519,             0.94682,             0.94642,             0.95507,             0.50151,            0.038671,             0.01701,           0.0051738,              0.0034,              0.0034,              0.0034
                  12,            0.039848,             0.01893,             0.01021,             0.94789,             0.94914,             0.95688,             0.50417,            0.038572,            0.016971,           0.0049562,             0.00274,             0.00274,             0.00274
                  13,             0.03945,            0.018853,           0.0097615,             0.94881,             0.95132,             0.95783,             0.50552,            0.038457,            0.016942,           0.0048195,             0.00208,             0.00208,             0.00208
                  14,             0.03928,            0.018775,           0.0094852,             0.95011,             0.95344,             0.95968,             0.50774,             0.03839,            0.016919,            0.004696,             0.00142,             0.00142,             0.00142
