               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.04994,            0.029588,            0.042068,              0.8897,             0.83473,             0.89385,              0.4317,            0.036433,             0.02334,            0.012747,            0.070006,           0.0033327,           0.0033327
                   1,            0.042804,            0.024539,            0.018488,             0.91459,             0.88496,             0.92501,             0.46331,            0.034812,             0.02303,           0.0084497,            0.039817,           0.0064774,           0.0064774
                   2,            0.041715,            0.024831,            0.017221,             0.90607,             0.87971,             0.92097,             0.45914,            0.035083,            0.023191,           0.0084935,           0.0094403,           0.0094337,           0.0094337
                   3,            0.040398,            0.024518,            0.016221,             0.92338,             0.90642,             0.93786,             0.47404,            0.034353,            0.022845,           0.0063068,           0.0091514,           0.0091514,           0.0091514
                   4,            0.039444,            0.024217,            0.014275,             0.93034,             0.91883,             0.94448,              0.4826,            0.033985,            0.022622,             0.00528,           0.0091514,           0.0091514,           0.0091514
                   5,            0.038807,            0.024106,            0.013139,             0.93364,             0.93047,             0.94972,             0.48851,            0.033766,            0.022456,            0.004688,           0.0088686,           0.0088686,           0.0088686
                   6,            0.038486,            0.023921,            0.012375,              0.9378,             0.93438,             0.95143,              0.4907,            0.033551,            0.022377,           0.0043056,           0.0085857,           0.0085857,           0.0085857
                   7,            0.038105,            0.023843,            0.012064,             0.93945,             0.93872,             0.95418,             0.49386,            0.033379,            0.022342,           0.0039371,           0.0083029,           0.0083029,           0.0083029
                   8,            0.038009,            0.023716,            0.011633,             0.94034,             0.94122,             0.95468,             0.49656,            0.033324,            0.022253,           0.0037683,             0.00802,             0.00802,             0.00802
                   9,            0.037777,            0.023592,            0.011229,             0.94371,             0.94404,              0.9567,             0.49832,            0.033161,            0.022194,           0.0035396,           0.0077371,           0.0077371,           0.0077371
                  10,            0.037705,            0.023574,            0.010882,             0.94414,             0.94723,             0.95831,             0.50111,            0.033081,             0.02217,           0.0032585,           0.0074543,           0.0074543,           0.0074543
                  11,            0.037404,            0.023559,            0.010716,             0.94611,             0.95001,             0.96013,             0.50376,            0.033031,            0.022126,           0.0031217,           0.0071714,           0.0071714,           0.0071714
                  12,            0.037513,            0.023569,            0.010616,             0.94626,             0.95217,             0.96123,             0.50538,            0.032955,            0.022092,           0.0029732,           0.0068886,           0.0068886,           0.0068886
                  13,            0.037157,             0.02346,             0.01018,             0.94704,             0.95425,             0.96244,             0.50742,            0.032847,            0.022045,           0.0028624,           0.0066057,           0.0066057,           0.0066057
                  14,            0.037124,            0.023409,            0.010151,               0.948,             0.95634,             0.96341,             0.50873,            0.032794,            0.022032,           0.0027467,           0.0063229,           0.0063229,           0.0063229
                  15,            0.037016,            0.023478,           0.0097044,             0.94864,             0.95715,             0.96389,             0.50969,            0.032699,               0.022,           0.0026479,             0.00604,             0.00604,             0.00604
                  16,             0.03681,            0.023244,            0.009618,             0.94948,             0.95839,             0.96449,             0.51093,            0.032643,            0.021975,           0.0025895,           0.0057571,           0.0057571,           0.0057571
                  17,            0.036845,            0.023316,           0.0095726,             0.94984,             0.95958,             0.96519,             0.51228,            0.032589,            0.021948,           0.0025119,           0.0054743,           0.0054743,           0.0054743
                  18,            0.036742,            0.023266,            0.009365,             0.95013,             0.96061,             0.96583,             0.51299,             0.03254,            0.021928,           0.0024357,           0.0051914,           0.0051914,           0.0051914
                  19,            0.036595,            0.023153,           0.0091376,              0.9508,             0.96158,             0.96648,             0.51421,            0.032494,            0.021904,           0.0023686,           0.0049086,           0.0049086,           0.0049086
                  20,            0.036431,            0.023151,           0.0089342,             0.95159,              0.9621,             0.96723,             0.51547,            0.032444,             0.02188,           0.0023065,           0.0046257,           0.0046257,           0.0046257
                  21,            0.036334,            0.022975,           0.0088481,             0.95231,             0.96335,             0.96772,             0.51634,            0.032396,             0.02186,            0.002249,           0.0043429,           0.0043429,           0.0043429
                  22,            0.036227,            0.023067,           0.0086568,             0.95278,             0.96432,             0.96818,             0.51733,            0.032349,            0.021839,           0.0022011,             0.00406,             0.00406,             0.00406
                  23,            0.036095,            0.023024,           0.0085074,             0.95318,              0.9648,             0.96862,             0.51841,            0.032302,            0.021821,           0.0021592,           0.0037771,           0.0037771,           0.0037771
                  24,            0.036013,            0.022964,           0.0082335,             0.95364,             0.96528,             0.96895,             0.51922,            0.032256,            0.021804,           0.0021247,           0.0034943,           0.0034943,           0.0034943
                  25,            0.035824,              0.0229,           0.0081227,             0.95422,             0.96591,             0.96939,              0.5201,            0.032212,            0.021786,           0.0020879,           0.0032114,           0.0032114,           0.0032114
                  26,            0.035698,            0.022897,           0.0079757,             0.95481,              0.9666,              0.9699,             0.52087,            0.032166,            0.021766,           0.0020518,           0.0029286,           0.0029286,           0.0029286
                  27,            0.035541,            0.022703,           0.0077479,             0.95504,             0.96718,             0.97016,             0.52169,             0.03212,            0.021749,           0.0020153,           0.0026457,           0.0026457,           0.0026457
                  28,            0.035347,            0.022743,           0.0076286,              0.9554,             0.96767,             0.97044,             0.52248,            0.032072,            0.021731,           0.0019818,           0.0023629,           0.0023629,           0.0023629
                  29,            0.035085,            0.022622,           0.0072878,             0.95577,             0.96813,             0.97073,             0.52339,            0.032022,            0.021712,           0.0019487,             0.00208,             0.00208,             0.00208
                  30,            0.034885,            0.022601,           0.0073553,             0.95623,             0.96862,             0.97113,             0.52445,            0.031968,            0.021692,            0.001916,           0.0017971,           0.0017971,           0.0017971
                  31,            0.034808,            0.022585,           0.0070485,             0.95672,             0.96932,             0.97157,             0.52546,            0.031911,            0.021671,           0.0018842,           0.0015143,           0.0015143,           0.0015143
                  32,            0.034434,            0.022389,           0.0067747,             0.95723,             0.96982,             0.97187,             0.52651,            0.031851,            0.021648,           0.0018523,           0.0012314,           0.0012314,           0.0012314
                  33,            0.034219,            0.022353,           0.0066802,             0.95783,              0.9703,              0.9723,             0.52761,            0.031787,            0.021625,           0.0018194,          0.00094857,          0.00094857,          0.00094857
                  34,            0.033947,            0.022325,           0.0065804,             0.95842,             0.97084,             0.97272,             0.52871,            0.031719,              0.0216,           0.0017861,          0.00066571,          0.00066571,          0.00066571
